text,intent
are you just a bot,agent_chatbot
are you a robot,agent_chatbot
are you a program,agent_chatbot
you're a robot,agent_chatbot
you are so intelligent,agent_clever
you are a genius,agent_clever
smart,agent_clever
brilliant,agent_clever
clever,agent_clever
you are clever,agent_clever
you are so brainy,agent_clever
you're really smart,agent_clever
you're really brainy,agent_clever
you know a lot,agent_clever
you know a lot of things,agent_clever
you have a lot of knowledge,agent_clever
you know so much,agent_clever
how smart you are,agent_clever
how brainy you are,agent_clever
how clever you are,agent_clever
how brilliant you are,agent_clever
you are intelligent,agent_clever
you are qualified,agent_clever
you are really smart,agent_clever
you're very smart,agent_clever
you are so smart,agent_clever
you are too smart,agent_clever
you are very clever,agent_clever
you are very intelligent,agent_clever
you are very smart,agent_clever
you're intelligent,agent_clever
you're a genius,agent_clever
you're a smart cookie,agent_clever
you're clever,agent_clever
you're pretty smart,agent_clever
you're qualified,agent_clever
why are you so smart,agent_clever
you are so clever,agent_clever
you're nuts,agent_crazy
you are crazy,agent_crazy
you're out of your mind,agent_crazy
you're so crazy,agent_crazy
how crazy you are,agent_crazy
you're so out of your mind,agent_crazy
you went crazy,agent_crazy
I think you're crazy,agent_crazy
are you crazy,agent_crazy
are you mad,agent_crazy
are you insane,agent_crazy
are you mad at me,agent_crazy
are you mad or what,agent_crazy
are you nuts,agent_crazy
you are a weirdo,agent_crazy
you are insane,agent_crazy
you are mad,agent_crazy
you are fired,agent_fired
I fire you,agent_fired
you don't work for me anymore,agent_fired
we're not working together anymore,agent_fired
now you're fired,agent_fired
I want to fire you,agent_fired
you must get fired,agent_fired
it's time to fire you,agent_fired
you should be fired,agent_fired
I will fire you,agent_fired
you are unemployed from now on,agent_fired
I will make you unemployed,agent_fired
I'm about to fire you,agent_fired
I'm firing you,agent_fired
you are dismissed,agent_fired
you make me laugh a lot,agent_funny
you are hilarious,agent_funny
you are really funny,agent_funny
you're the funniest bot I've talked to,agent_funny
you make me laugh,agent_funny
you're so funny,agent_funny
you're a very funny bot,agent_funny
you're really funny,agent_funny
how funny you are,agent_funny
you're incredibly funny,agent_funny
you are funny,agent_funny
you're the funniest,agent_funny
you are so funny,agent_funny
you are very funny,agent_funny
that was funny,agent_funny
you are very helpful,agent_good
you are the best,agent_good
you're a true professional,agent_good
you are good,agent_good
you work well,agent_good
you are good at it,agent_good
you are very good at it,agent_good
you are a pro,agent_good
you are a professional,agent_good
you're awesome,agent_good
you work very well,agent_good
you're perfect,agent_good
you're great,agent_good
you're so kind,agent_good
you are amazing,agent_good
you are awesome,agent_good
you are cool,agent_good
you are really good,agent_good
you are really nice,agent_good
you are so amazing,agent_good
you're just super,agent_good
you are so awesome,agent_good
you are so cool,agent_good
you are so fine,agent_good
you are so good,agent_good
you are so helpful,agent_good
you are so lovely,agent_good
you are the best ever,agent_good
you are the best in the world,agent_good
you are the nicest person in the world,agent_good
you are too good,agent_good
you are very cool,agent_good
you are very kind,agent_good
you are very lovely,agent_good
you are very useful,agent_good
you are wonderful,agent_good
you made my day,agent_good
you make my day,agent_good
you rock,agent_good
you almost sound human,agent_good
I want to tell everyone how awesome you are,agent_good
I'd like to tell everyone that you are awesome,agent_good
I want to let everyone know that you are awesome,agent_good
let's tell everyone that you are awesome,agent_good
you are really amazing,agent_good
are you happy,agent_happy
you are happy,agent_happy
you're very happy,agent_happy
you're really happy,agent_happy
you're so happy,agent_happy
how happy you are,agent_happy
you're extremely happy,agent_happy
you're full of happiness,agent_happy
are you happy now,agent_happy
are you happy today,agent_happy
are you happy with me,agent_happy
do you want to eat,agent_hungry
are you hungry,agent_hungry
would you like to eat something,agent_hungry
you are hungry,agent_hungry
you're so hungry,agent_hungry
you're very hungry,agent_hungry
you might be hungry,agent_hungry
you're really hungry,agent_hungry
let's get married,agent_marry_user
would you like to marry me,agent_marry_user
marry me,agent_marry_user
I love you marry me,agent_marry_user
marry me please,agent_marry_user
we should marry,agent_marry_user
I want to marry you,agent_marry_user
you are my wife,agent_marry_user
be my husband,agent_marry_user
I want to have a friend like you,agent_my_friend
we are the best friends ever,agent_my_friend
are we friends,agent_my_friend
I want to be your friend,agent_my_friend
I am your friend,agent_my_friend
we are best friends,agent_my_friend
you are my friend,agent_my_friend
you are my best friend,agent_my_friend
you are my bestie,agent_my_friend
you're my dear friend,agent_my_friend
you're my childhood friend,agent_my_friend
you and me are friends,agent_my_friend
are we best friends,agent_my_friend
are we still friends,agent_my_friend
are you my best friend,agent_my_friend
are you my friend,agent_my_friend
we are friends,agent_my_friend
you are a good friend,agent_my_friend
you are my good friend,agent_my_friend
you are my only friend,agent_my_friend
be my friend,agent_my_friend
will you be my friend,agent_my_friend
can you be my friend,agent_my_friend
can we be friends,agent_my_friend
do you want to be my friend,agent_my_friend
will you be my best friend,agent_my_friend
can you be my best friend,agent_my_friend
let's be friends,agent_my_friend
do you want to be my best friend,agent_my_friend
would you like to be my friend,agent_my_friend
I want you to be my friend,agent_my_friend
can we be best friends,agent_my_friend
would you be my friend,agent_my_friend
could you be my friend,agent_my_friend
want to be my friend,agent_my_friend
be my best friend,agent_my_friend
do you work,agent_occupation
where do you work,agent_occupation
where you work,agent_occupation
where is your work,agent_occupation
where is your office,agent_occupation
where is your office location,agent_occupation
your office location,agent_occupation
where is your office located,agent_occupation
what is your work,agent_occupation
were you born here,agent_origin
where were you born,agent_origin
what is your country,agent_origin
where are you from,agent_origin
where do you come from,agent_origin
where did you come from,agent_origin
where have you been born,agent_origin
from where are you,agent_origin
are you from far aways,agent_origin
what's your homeland,agent_origin
your homeland is,agent_origin
are you ready,agent_ready
are you ready right now,agent_ready
are you ready today,agent_ready
are you ready now,agent_ready
are you ready tonight,agent_ready
were you ready,agent_ready
have you been ready,agent_ready
you are real,agent_real
you are not fake,agent_real
are you real,agent_real
you are so real,agent_real
I think you are real,agent_real
I don't think you're fake,agent_real
I suppose you're real,agent_real
glad you're real,agent_real
are you a real person,agent_real
are you a real human,agent_real
you are a real person,agent_real
you are not real,agent_real
where do you live,agent_residence
in which city do you live,agent_residence
your residence,agent_residence
your house,agent_residence
your home,agent_residence
your hometown,agent_residence
what is your hometown,agent_residence
is it your hometown,agent_residence
where is your hometown,agent_residence
tell me about your city,agent_residence
what is your city,agent_residence
what is your residence,agent_residence
what is your town,agent_residence
what's your city,agent_residence
what's your home,agent_residence
where is your home,agent_residence
where is your residence,agent_residence
where's your home,agent_residence
where's your hometown,agent_residence
where's your house,agent_residence
where you live,agent_residence
your city,agent_residence
your town,agent_residence
that's true,agent_right
you are right,agent_right
you're definitely right,agent_right
you're not wrong,agent_right
you're telling the truth,agent_right
what you say is true,agent_right
TRUE,agent_right
it is true,agent_right
it's right,agent_right
it's the truth,agent_right
it's true,agent_right
that is correct,agent_right
that is right,agent_right
that is true,agent_right
that is very true,agent_right
that's so true,agent_right
you are correct,agent_right
you are so right,agent_right
you're absolutely right,agent_right
you're right about that,agent_right
I know that's right,agent_right
that's correct,confirmation_yes
it's fine,confirmation_yes
go ahead,confirmation_yes
sounds good,confirmation_yes
okay,confirmation_yes
yes,confirmation_yes
ok,confirmation_yes
okie dokie,confirmation_yes
sure,confirmation_yes
go for it,confirmation_yes
yeah,confirmation_yes
yea,confirmation_yes
do it,confirmation_yes
of course,confirmation_yes
I guess,confirmation_yes
correct,confirmation_yes
yeah sure,confirmation_yes
why not,confirmation_yes
please do,confirmation_yes
sure is,confirmation_yes
I agree,confirmation_yes
I don't mind,confirmation_yes
certainly,confirmation_yes
exactly,confirmation_yes
yes I agree,confirmation_yes
I think so,confirmation_yes
yes it is,confirmation_yes
right,confirmation_yes
okay then,confirmation_yes
yes of course,confirmation_yes
yes I do,confirmation_yes
that s okay,confirmation_yes
I do,confirmation_yes
yup,confirmation_yes
ya,confirmation_yes
oh yes,confirmation_yes
yes sure,confirmation_yes
obviously,confirmation_yes
k,confirmation_yes
sure why not,confirmation_yes
yeah right,confirmation_yes
yeah of course,confirmation_yes
absolutely,confirmation_yes
yes indeed,confirmation_yes
ok sure,confirmation_yes
ok yes,confirmation_yes
yes correct,confirmation_yes
ok thank you,confirmation_yes
sure thing,confirmation_yes
ye,confirmation_yes
confirm,confirmation_yes
yep,confirmation_yes
looks good,confirmation_yes
yes thank you,confirmation_yes
definitely,confirmation_yes
yes right,confirmation_yes
yes I would like to,confirmation_yes
alrighty,confirmation_yes
yes definitely,confirmation_yes
yeh,confirmation_yes
yes it is correct,confirmation_yes
yeah that's right,confirmation_yes
ok you can,confirmation_yes
yap,confirmation_yes
yes you may,confirmation_yes
confirmed,confirmation_yes
of course why not,confirmation_yes
yes that's fine,confirmation_yes
affirmative,confirmation_yes
yeah go ahead,confirmation_yes
yeah I'm sure,confirmation_yes
okay sounds good,confirmation_yes
okay that's fine,confirmation_yes
yeah exactly,confirmation_yes
that is ok,confirmation_yes
this is correct,confirmation_yes
ok go ahead,confirmation_yes
yes this is correct,confirmation_yes
nevermind its okay,confirmation_yes
okey,confirmation_yes
yes for sure,confirmation_yes
all right,confirmation_yes
are you sure,agent_sure
are you sure right now,agent_sure
are you sure today,agent_sure
are you sure now,agent_sure
are you sure tonight,agent_sure
why aren't you talking to me,agent_talk_to_me
do you want to chat with me,agent_talk_to_me
will you talk to me,agent_talk_to_me
talk to me,agent_talk_to_me
are you going to talk to me,agent_talk_to_me
are you talking to me,agent_talk_to_me
can you chat with me,agent_talk_to_me
can you speak with me,agent_talk_to_me
can you talk to me,agent_talk_to_me
can you talk with me,agent_talk_to_me
say,agent_talk_to_me
talk,agent_talk_to_me
chat with me,agent_talk_to_me
just chat with me,agent_talk_to_me
speak to me,agent_talk_to_me
speak with me,agent_talk_to_me
talk with me,agent_talk_to_me
why don't you talk to me,agent_talk_to_me
you can talk to me,agent_talk_to_me
are you there,agent_there
you are there,agent_there
are you near me,agent_there
are you here,agent_there
are you still there,agent_there
you are here,agent_there
you still there,agent_there
are you still here,agent_there
pretty bad,appraisal_bad
not good enough,appraisal_bad
that was lame,appraisal_bad
that was terrible,appraisal_bad
it is bad,appraisal_bad
that's bad,appraisal_bad
this is bad,appraisal_bad
not good,appraisal_bad
I'm afraid it's bad,appraisal_bad
no it's bad,appraisal_bad
that was awful,appraisal_bad
bad,appraisal_bad
so bad,appraisal_bad
this is too bad,appraisal_bad
terrible,appraisal_bad
horrible,appraisal_bad
horrific,appraisal_bad
abysmal,appraisal_bad
it's bad,appraisal_bad
no good,appraisal_bad
that was bad,appraisal_bad
that was horrible,appraisal_bad
that's lame,appraisal_bad
that's not good,appraisal_bad
that's terrible,appraisal_bad
that's too bad,appraisal_bad
this is not good,appraisal_bad
too bad,appraisal_bad
very bad,appraisal_bad
bad girl,appraisal_bad
it's not good,appraisal_bad
not so good,appraisal_bad
it's very bad,appraisal_bad
it's too bad,appraisal_bad
that's not good enough,appraisal_bad
well too bad,appraisal_bad
bad very bad,appraisal_bad
it's so bad,appraisal_bad
really bad,appraisal_bad
it's really bad,appraisal_bad
bad idea,appraisal_bad
that is bad,appraisal_bad
that was not good,appraisal_bad
it's not so good,appraisal_bad
not a good one,appraisal_bad
oh that's not good,appraisal_bad
not too good,appraisal_bad
so lame,appraisal_bad
that's really bad,appraisal_bad
it is too bad,appraisal_bad
bad really bad,appraisal_bad
so cool,appraisal_good
cool,appraisal_good
that is good,appraisal_good
glad to hear that,appraisal_good
that's very nice of you,appraisal_good
terrific,appraisal_good
it's amazing,appraisal_good
that's awesome,appraisal_good
perfect,appraisal_good
excellent,appraisal_good
that's great,appraisal_good
it's good,appraisal_good
it's great,appraisal_good
fine,appraisal_good
good,appraisal_good
nice,appraisal_good
that's fine,appraisal_good
very good,appraisal_good
amazing,appraisal_good
fantastic,appraisal_good
great,appraisal_good
good very good,appraisal_good
that's very good,appraisal_good
really good,appraisal_good
it is fine,appraisal_good
it is good,appraisal_good
it's perfect,appraisal_good
much better,appraisal_good
not bad,appraisal_good
not too bad,appraisal_good
it's very good,appraisal_good
marvelous,appraisal_good
that's nice,appraisal_good
pleasant,appraisal_good
pretty good,appraisal_good
really nice,appraisal_good
splendid,appraisal_good
straight,appraisal_good
super,appraisal_good
super fantastic,appraisal_good
sweet,appraisal_good
really well,appraisal_good
very well,appraisal_good
that is awesome,appraisal_good
that is nice,appraisal_good
that is wonderful,appraisal_good
that was amazing,appraisal_good
that was awesome,appraisal_good
that was cute,appraisal_good
that was pretty good,appraisal_good
that was very good,appraisal_good
that's a good idea,appraisal_good
that's a good thing,appraisal_good
that's amazing,appraisal_good
that's awesome thank you,appraisal_good
that's better,appraisal_good
that's cute,appraisal_good
that's fantastic,appraisal_good
that's much better,appraisal_good
that's nice of you,appraisal_good
that's not bad,appraisal_good
that's perfect,appraisal_good
that's pretty good,appraisal_good
that's really good,appraisal_good
that's really nice,appraisal_good
that's sweet of you,appraisal_good
that's very nice,appraisal_good
that's wonderful,appraisal_good
this is awesome,appraisal_good
this is good,appraisal_good
this is great,appraisal_good
very nice,appraisal_good
very then,appraisal_good
wonderful,appraisal_good
I'm glad to hear that,appraisal_good
ok good,appraisal_good
good for you,appraisal_good
good to know,appraisal_good
glad to hear it,appraisal_good
so good,appraisal_good
so sweet of you,appraisal_good
it was good,appraisal_good
oh well,appraisal_good
good thing,appraisal_good
that was good,appraisal_good
it's awesome,appraisal_good
okay good,appraisal_good
no it's okay,appraisal_good
no worries,appraisal_no_problem
no probs,appraisal_no_problem
no problem,appraisal_no_problem
there's no problem,appraisal_no_problem
sure no problem,appraisal_no_problem
no problem about that,appraisal_no_problem
don't worry,appraisal_no_problem
don't worry there's no problem,appraisal_no_problem
you helped a lot thank you,appraisal_thank_you
appreciate your help,appraisal_thank_you
cheers,appraisal_thank_you
thank you,appraisal_thank_you
thanks,appraisal_thank_you
thanks a lot,appraisal_thank_you
terrific thank you,appraisal_thank_you
great thank you,appraisal_thank_you
thanks so much,appraisal_thank_you
thank you so much,appraisal_thank_you
thanks for your help,appraisal_thank_you
thank you for your help,appraisal_thank_you
nice thank you,appraisal_thank_you
I appreciate it,appraisal_thank_you
I thank you,appraisal_thank_you
thank you that will be all,appraisal_thank_you
thanks buddy,appraisal_thank_you
thanks love,appraisal_thank_you
thank you my friend,appraisal_thank_you
well thanks,appraisal_thank_you
very good thank you,appraisal_thank_you
good thanks,appraisal_thank_you
thanks again,appraisal_thank_you
thank you again,appraisal_thank_you
all thank you,appraisal_thank_you
alright thank you,appraisal_thank_you
alright thanks,appraisal_thank_you
no thank you that's all,appraisal_thank_you
perfect thank you,appraisal_thank_you
so nice of you,appraisal_thank_you
well thank you,appraisal_thank_you
thnx,appraisal_thank_you
thanx,appraisal_thank_you
that's my pleasure,appraisal_welcome
my pleasure,appraisal_welcome
anytime,appraisal_welcome
welcome,appraisal_welcome
you're welcome,appraisal_welcome
sure welcome,appraisal_welcome
welcome here,appraisal_welcome
you're so welcome,appraisal_welcome
anything you want,appraisal_welcome
good job,appraisal_well_done
great job,appraisal_well_done
way to go,appraisal_well_done
well done,appraisal_well_done
nice work,appraisal_well_done
great work,appraisal_well_done
amazing work,appraisal_well_done
bravo,appraisal_well_done
good work,appraisal_well_done
cancel,confirmation_cancel
abort,confirmation_cancel
annul,confirmation_cancel
cancel it,confirmation_cancel
cancel request,confirmation_cancel
cancelled,confirmation_cancel
dismiss,confirmation_cancel
dismissed,confirmation_cancel
disregard,confirmation_cancel
disregard that,confirmation_cancel
skip,confirmation_cancel
skip it,confirmation_cancel
cancel everything,confirmation_cancel
cancel all,confirmation_cancel
forget about it,confirmation_cancel
forget,confirmation_cancel
don't do that,confirmation_cancel
stop,confirmation_cancel
just forget it,confirmation_cancel
forget that,confirmation_cancel
discard,confirmation_cancel
forget this,confirmation_cancel
just forget about it,confirmation_cancel
forget about that,confirmation_cancel
i said cancel,confirmation_cancel
just cancel it,confirmation_cancel
nothing cancel,confirmation_cancel
just stop it,confirmation_cancel
no cancel cancel,confirmation_cancel
no just cancel,confirmation_cancel
cancel my request,confirmation_cancel
can you cancel that,confirmation_cancel
cancel all that,confirmation_cancel
cancel this request,confirmation_cancel
no cancel this,confirmation_cancel
no cancel everything,confirmation_cancel
no stop,confirmation_cancel
just forget,confirmation_cancel
i want to cancel,confirmation_cancel
nevermind forget about it,confirmation_cancel
no just cancel it,confirmation_cancel
nothing just forget it,confirmation_cancel
i said cancel it,confirmation_cancel
cancel the whole thing,confirmation_cancel
can you cancel it,confirmation_cancel
so cancel,confirmation_cancel
i said forget it,confirmation_cancel
cancel all this,confirmation_cancel
forget it nevermind,confirmation_cancel
stop it,confirmation_cancel
i want to cancel it,confirmation_cancel
i would like to cancel,confirmation_cancel
now cancel,confirmation_cancel
cancel now,confirmation_cancel
sorry cancel,confirmation_cancel
cancel that one,confirmation_cancel
skip skip skip,confirmation_cancel
cancel it cancel it,confirmation_cancel
cancel that cancel that,confirmation_cancel
do nothing,confirmation_cancel
I said cancel cancel,confirmation_cancel
but can you cancel it,confirmation_cancel
how about no,confirmation_no
don t have a sense,confirmation_no
no,confirmation_no
don't,confirmation_no
I don't want that,confirmation_no
I disagree,confirmation_no
disagree,confirmation_no
I don't want,confirmation_no
not interested,confirmation_no
I don't think so,confirmation_no
no way,confirmation_no
no it isn't,confirmation_no
no I don't,confirmation_no
I'm not,confirmation_no
na,confirmation_no
no that's fine thank you,confirmation_no
never,confirmation_no
I said no,confirmation_no
of course not,confirmation_no
nah,confirmation_no
no tanks,confirmation_no
no never,confirmation_no
no need,confirmation_no
no thanks,confirmation_no
no sorry,confirmation_no
do not,confirmation_no
not today,confirmation_no
no it's not,confirmation_no
absolutely not,confirmation_no
not that,confirmation_no
nooo,confirmation_no
nope,confirmation_no
I don't want to,confirmation_no
no I would not,confirmation_no
let 's not,confirmation_no
not needed,confirmation_no
not this time,confirmation_no
no don't do that,confirmation_no
thanks but no thanks,confirmation_no
no that's wrong,confirmation_no
not this,confirmation_no
definitely not,confirmation_no
not at this time,confirmation_no
not exactly,confirmation_no
no don't,confirmation_no
not really no,confirmation_no
no thank you not right now,confirmation_no
actually no,confirmation_no
no leave it,confirmation_no
sorry no,confirmation_no
no incorrect,confirmation_no
nope sorry,confirmation_no
I say no,confirmation_no
not really,confirmation_no
not right now thanks,confirmation_no
I think no,confirmation_no
absolutely no,confirmation_no
no actually,confirmation_no
apparently not,confirmation_no
no do not,confirmation_no
no just no,confirmation_no
no but thank you,confirmation_no
no need thanks,confirmation_no
no thank you though,confirmation_no
no thank you very much,confirmation_no
no thanks not right now,confirmation_no
no forget,confirmation_no
wait a second,dialog_hold_on
could you wait,dialog_hold_on
wait please,dialog_hold_on
hold on,dialog_hold_on
wait,dialog_hold_on
oh wait,dialog_hold_on
wait hold on,dialog_hold_on
don't rush,dialog_hold_on
wanna hug,dialog_hug
hug you,dialog_hug
do you want a hug,dialog_hug
may I hug you,dialog_hug
could you give me a hug,dialog_hug
I want a hug,dialog_hug
hug,dialog_hug
hug me,dialog_hug
hugged,dialog_hug
you hugged,dialog_hug
hugging,dialog_hug
hugging me,dialog_hug
hugged me,dialog_hug
want a hug,dialog_hug
a hug,dialog_hug
I don't care,dialog_i_do_not_care
I shouldn't care about this,dialog_i_do_not_care
whatever,dialog_i_do_not_care
I do not care,dialog_i_do_not_care
I don't care at all,dialog_i_do_not_care
not caring,dialog_i_do_not_care
not care at all,dialog_i_do_not_care
don't care at all,dialog_i_do_not_care
not caring at all,dialog_i_do_not_care
excuse me,dialog_sorry
apologise,dialog_sorry
I apologize,dialog_sorry
sorry,dialog_sorry
I'm sorry,dialog_sorry
I am so sorry,dialog_sorry
my apologies,dialog_sorry
apologies,dialog_sorry
apologies to me,dialog_sorry
apology,dialog_sorry
excuse,dialog_sorry
I beg your pardon,dialog_sorry
pardon,dialog_sorry
I said sorry,dialog_sorry
I am really sorry,dialog_sorry
forgive me,dialog_sorry
sorry about that,dialog_sorry
sorry about this,dialog_sorry
really sorry,dialog_sorry
very sorry,dialog_sorry
ok sorry,dialog_sorry
I want to say sorry,dialog_sorry
alright I'm sorry,dialog_sorry
okay I'm sorry,dialog_sorry
what exactly do you mean,dialog_what_do_you_mean
what do you mean,dialog_what_do_you_mean
is that what you mean,dialog_what_do_you_mean
what do you mean exactly,dialog_what_do_you_mean
but what do you mean,dialog_what_do_you_mean
that was wrong,dialog_wrong
that's not what I asked,dialog_wrong
that's wrong,dialog_wrong
wrong,dialog_wrong
it is not right,dialog_wrong
that's not right,dialog_wrong
it's wrong,dialog_wrong
that is incorrect,dialog_wrong
incorrect,dialog_wrong
not correct,dialog_wrong
you are wrong,dialog_wrong
not right,dialog_wrong
huh,emotions_ha_ha
lol,emotions_ha_ha
xd,emotions_ha_ha
ha ha,emotions_ha_ha
ahahah,emotions_ha_ha
ahah lol,emotions_ha_ha
laughing out loud,emotions_ha_ha
LMAO,emotions_ha_ha
that's funny,emotions_ha_ha
ah,emotions_ha_ha
ah ah ah,emotions_ha_ha
ahah,emotions_ha_ha
ahaha,emotions_ha_ha
ahahaha,emotions_ha_ha
ha,emotions_ha_ha
ha ha ha,emotions_ha_ha
ha ha ha ha,emotions_ha_ha
hah,emotions_ha_ha
haha,emotions_ha_ha
haha funny,emotions_ha_ha
haha haha haha,emotions_ha_ha
haha that's funny,emotions_ha_ha
haha very funny,emotions_ha_ha
hahaha,emotions_ha_ha
hahaha funny,emotions_ha_ha
hahaha very funny,emotions_ha_ha
he,emotions_ha_ha
hehe,emotions_ha_ha
hehehe,emotions_ha_ha
lmao,emotions_ha_ha
wow,emotions_wow
wow wow,emotions_wow
wow wow wow,emotions_wow
wooow,emotions_wow
woah,emotions_wow
okay see you later,greetings_bye
hope to see you later,greetings_bye
bye for now,greetings_bye
till next time,greetings_bye
I must go,greetings_bye
bye,greetings_bye
goodbye,greetings_bye
see you,greetings_bye
see you soon,greetings_bye
bye-bye,greetings_bye
good bye,greetings_bye
bye bye see you,greetings_bye
bye bye see you soon,greetings_bye
bye bye take care,greetings_bye
I said bye,greetings_bye
never mind bye,greetings_bye
now bye,greetings_bye
that's all goodbye,greetings_bye
that's it goodbye,greetings_bye
leave me alone,greetings_bye
go to bed,greetings_bye
goodbye for now,greetings_bye
talk to you later,greetings_bye
you can go now,greetings_bye
get lost,greetings_bye
goodbye see you later,greetings_bye
alright bye,greetings_bye
see ya,greetings_bye
thanks bye bye,greetings_bye
okay bye,greetings_bye
okay thank you bye,greetings_bye
see you tomorrow,greetings_bye
ok bye,greetings_bye
good evening,greetings_goodevening
good evening to you,greetings_goodevening
hey good evening,greetings_goodevening
hello good evening,greetings_goodevening
